,1479343,1556732,1765034,1833957,1826662,1826283,1955387,2010895,2038210,,Nostrand Avenue,1396166,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,992856,1059449,1147611,1176342,1152155,1262760,1295553,1355307,1388201,,Tompkins Avenue,899242,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,1330326,1255221,1301622,1370815,1417199,1421767,1461829,1511243,1557077,,Troy Avenue (Sumner Ave.),1163278,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,1418450,1449488,1534562,1594517,1664801,1603982,1622442,1696269,1575154,,Reid Avenue (Utica Ave.),1334615,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,1896033,1947237,1844700,2018100,2080714,2033332,1829480,1798458,1889364,,Ralph Avenue,1790535,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,1976030,2009135,2076953,2129783,2162883,2059324,1963371,1873642,1802627,,Saratoga Avenue,1915094,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,1850774,2024752,1979459,1927381,1988968,2013547,2089490,2072898,2064169,,Rockaway Avenue,1804522,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,2663599,3063609,3146305,3091263,3048121,2936855,2931112,2737575,2764070,,Atlantic Avenue,2578012,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,414219,480076,616129,607131,657791,612935,599018,580286,600143,,Hinsdale Street,451820,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,1610430,1840281,1603915,1619818,1860860,1489866,1414822,1353260,1385808,,Pennsylvania Avenue,1608318,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,2086436,3231184,2380014,2252847,2051023,1804676,1726320,1598227,1372368,,Van Sicklen Avenue,1829855,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,1999454,2216934,2224611,2191652,2101042,1891194,1814726,1697094,1672665,,Linwood Street,1712072,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,1184058,1261359,1346910,1412620,1478121,1488901,1612676,1617430,1641357,,Montauk Avenue,1062775,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,870845,888612,907831,948418,998666,1075361,1179951,1248565,1260160,,Chestnut Street,820324,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,440940,494482,537671,555810,850743,870951,808009,677460,700329,,Crescent Street,417963,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,1308762,1459017,1563368,1483769,1409857,1380242,1308585,1263284,1416148,,Grant Avenue (City Line),1331398,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,156607,222283,271483,415053,856306,681630,750156,784533,840991,,Hudson Street,140894,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,384698,520105,635930,661086,875215,1093025,1095494,1099248,,,Boyd Street,256862,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,847475,906302,1053325,1432976,1697606,1920813,1730467,1960301,1735034,,Rockaway Boulevard,438722,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,245139,460583,510073,871094,1009199,1053508,1159945,1147641,1658669,,Oxford Avenue,297723,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,550883,625046,1169560,1476298,1814708,1494883,1647514,1420599,1943919,,Greenwood Avenue,414587,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,906499,1291041,1740044,3771898,3394768,3923501,4266462,4406296,4336217,,Lefferts Avenue,767025,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,40517799,43962244,48906018,45645318,80772030,81745360,85102885,85394286,81173457,,LEXINGTON AVENUE (JAMAICA) LINE,86047218,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,218305,213888,229422,261538,303884,363425,388831,394563,392943,,High Street,144906,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,2806314,2812746,2965505,2953412,3033593,3033325,3109339,3284945,3304776,,Adams Street,2340017,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,1453075,1747416,1892956,1812989,1895194,2049206,2055381,2122519,2155038,,Bridge Street,1641087,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,990733,642645,723701,739362,760600,949432,807553,850229,884400,,Navy Street,600727,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,1004303,904865,931344,966184,988307,970041,916586,858890,876815,,Vanderbilt Avenue,885635,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,492095,443197,484062,514690,601661,630882,684832,680620,682528,,Washington Avenue,416192,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,460412,442987,506769,524552,628232,533087,502636,465464,445843,,Myrtle and Grand Avenues,418094,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,475106,516310,538512,527802,630875,493282,516088,499135,493466,,De Kalb Avenue,452269,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,563149,542371,589368,596391,670279,653014,655003,630177,648177,,Greene Avenue,527813,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,581887,555309,575372,569649,565414,571132,576030,578852,587589,,Flushing Avenue,487865,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,888692,920155,951022,949429,963699,916889,951838,947141,905747,,Nostrand Avenue,735796,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,763423,753651,766112,772270,826659,803610,793003,806504,770655,,Tompkins Avenue,630317,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,1115659,1084991,1114754,1137721,1176295,1162849,1134104,1121588,1082473,,Sumner Avenue,966231,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,896608,861738,862609,851155,834763,834698,763038,739845,729768,,Reid Avenue,964940,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,4176475,4573699,4765992,4928997,4900638,4838373,4876854,4790426,4239585,,Gates Avenue,3965164,,,,,,,,,,,,,,,,8,"NYC Transit ridership data for stations on company-owned lines, year ended June 30, covering Brooklyn Bridge Station through Lexington Avenue (Jamaica) Line, years 1920-1929"
,,,,,,,,,,,LEXINGTON AVENUE (JAMAICA) LINE - Concluded,,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,4073325,4207824,4258516,4373900,4311813,4207884,4278852,4177827,3455833,,Halsey Street,3875895,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,2973900,3153000,3159036,3261986,3288787,3278710,3318751,3305290,2407414,,Chauncey Street,2647801,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,,,,,,,,,,,Manhattan Avenue (a),,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,1031824,1141173,1237420,1319820,1326924,1318691,1380692,1380091,999815,,Eastern Parkway (a),735243,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,481847,650094,856700,911470,1150830,1184295,1236662,1227384,1236984,,Alabama Avenue,420781,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,831177,991318,1082650,1161470,1190830,1184295,1236662,1227384,1236984,,Van Sicklen Avenue,614867,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,1031371,1265583,1280792,1382763,1403755,1309860,1350634,1340457,1358430,,Cleveland Street,923246,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,1174138,1381311,1434575,1609261,1720094,1673590,1671309,1636420,1779364,,Norwood Avenue,1049286,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,1143872,1380423,1532927,1768048,1851135,1878300,1885800,1870652,1799364,,Crescent Street,1035619,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,404062,437855,466390,693242,618236,618715,521720,621562,654187,,Cypress Hills,371782,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,793380,900048,1023459,1474095,1544258,1046633,808095,1050490,1130197,,Elderts Lane,924613,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,1618961,1750079,1793300,1846347,1804141,1774861,1789725,1760406,1791604,,Forest Parkway,1431441,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,1163429,1280693,1407860,1464869,1510470,1510470,1188672,1208897,1527729,,Woodhaven Boulevard,1111150,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,1126217,1231921,1258346,1345090,1366470,1270469,1188672,1208897,1527729,,Freedom Avenue (111 St.),966131,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,1129655,1268341,1314102,1336413,1329000,1272079,1271248,1267455,1269414,,Greenwood Avenue (111th St.),1024672,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,636702,,644900,669205,672242,671915,651478,692294,699305,,Spruce Street (121st St.),520397,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,,371426,600978,610205,,,,,,,Manhattan Avenue,1143151,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,844142,422603,494015,585745,612748,808069,621000,680103,660653,,Queens Boulevard,318827,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,193250,203826,1156907,1159607,,2239319,3120395,3405308,3437861,,Sutphin Road (L.I.R.R. Depot),85156,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,1629864,1944012,2152134,3243477,3484376,3021478,3454004,3405308,3437861,,Newark Avenue (160th St.),1373845,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,1117199,1535233,1781949,3227652,2439483,2587105,,,,,Clifside Avenue (168th St.),894190,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,17464618,,24255898,,,,35727195,37054641,31392413,,MYRTLE AVENUE LINE,18534511,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,672003,918841,978362,997509,992947,979830,953334,953889,978380,,Franklin Avenue,762318,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,1097645,1190626,1272588,1370416,1410817,1406761,1468926,1505335,1567799,,Nostrand Avenue,937665,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,1293434,1415826,1484516,1617656,1688786,1640832,1538604,1656318,1667799,,Tompkins Avenue,1087695,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,730016,773036,613619,657408,696417,884007,831967,896674,953287,,Sumner Avenue,673323,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,2528102,,3002628,,,,,,,,Central Avenue,2368072,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,2550817,2587594,2705948,2842379,2925880,2846230,2786026,2817338,2310536,,Knickerbocker Avenue,2355176,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,3800805,3616761,3809178,3999484,4108518,4073655,4204820,4340478,4488418,,Wyckoff Avenue,3051382,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,1806539,1868558,1939218,2040013,2109358,1934458,1930562,2135075,1434259,,Seneca Avenue,1446619,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,2716331,2672355,2685950,2691098,2654036,2580043,2546688,2515211,2465287,,Forest Avenue (Madison Bl.),2494740,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,2808670,3171753,3373692,3609874,3800207,3866448,,,,,Fresh Pond Road,2711050,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,1353111,,1503856,,,,2108991,2197117,2355026,,Metropolitan Avenue,1341779,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,21774829,24870928,25690310,28234706,28460625,35464350,35194440,34425140,31825733,,BROADWAY (BROOKLYN) STATION,19261825,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,4629293,4966461,3840741,4718598,3440470,3497821,3459749,3585449,3494488,,Marcy Avenue,3815986,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,2853497,3024819,3849741,3274598,3766590,3497821,3459749,3585449,3494488,,Hewes Street,2607073,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,3483792,4007411,4252338,4759676,4320142,4052518,3859791,3649102,3196160,,Lorimer Street,3188158,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,4472256,4790348,4953398,5391368,5281044,4917459,4753289,4737461,4544139,,Flushing Avenue,4103460,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,3961304,4182875,4231834,4637336,4621814,4587542,4566782,4504398,4384699,,Myrtle Avenue,3745357,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,1757408,1976508,2159062,2424010,2492569,2518397,2562450,,,,Kosciusko Street,1609691,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,11746421,,,,,,,,,,CANARSIE LINE,,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,4113418,4197555,4350779,4774565,4324615,4186032,4188174,4352969,4259763,,Sutter Avenue,4066545,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,3169250,3108143,3215847,3531141,3373241,3062863,3708357,3479271,3359766,,Livonia Avenue,3612003,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,2429620,2760345,2780523,2997869,2929507,,,,,,New Lots Road,2946188,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,20900,35019,41209,,58790,71040,78484,104902,187421,,East 105th Street,15132,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,899777,1004200,1065028,1514158,1450389,1145790,,,,,Rockaway Parkway,726279,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,7427,80050,35382,38033,22543,,,,,,Flatlands (b),,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,6633,28089,65108,74243,45665,660853,869330,1947305,1980865,,Avenue L (b),,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,876702,810575,816161,455878,455451,,,,,,Canarsie Terminal,820777,,,,,,,,,,,,,,,,8,"NYC Transit ridership data continued for Lexington Avenue (Jamaica) Line concluded, Manhattan Avenue, Broadway (Brooklyn) Station, Canarsie Line, and other stations, year ended June 30, years 1920-1929"
,,,,,,,,,,,,,BRIGHTON BEACH LINE,,,14771908,16278560,44829463,37282831,50949221,95255881,88517958,48227058,48435241,48837,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,Dean Street,,,447828,806384,340058,881819,416188,419522,431165,443322,453085,482444,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,Park Place,,,1011398,1140196,617382,712432,738420,800978,852928,877110,976200,958471,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,Botanic Garden,,,71032,81474,71882,79335,84031,131411,176101,164166,165391,536510,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,Prospect Park,,,763629,1668238,2046679,2253645,2476442,2775877,2931571,3446036,3774734,2909078,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,Parkside Avenue,,,508375,621211,748164,874745,1093117,1300612,1402029,1380560,1604974,1960629,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,Church Avenue,,,1425592,2772551,3203262,3502441,3763220,4179105,4338839,4670918,5290623,5026358,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,Beverly Road,,,485034,651910,724328,848910,933597,1032691,1083163,1173896,1289746,1190104,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,Cortelyou Road (Avenue C),,,896809,1369256,1209286,1861706,1892246,1525941,1683163,1659720,1665009,1731821,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,Newkirk Avenue,,,1211306,2020858,2233936,2298496,2449116,2604672,2761191,2991638,2192125,2956064,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,Avenue H,,,789305,1198498,1143607,1384156,1492386,1008953,1003192,1168332,1133882,1202621,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
,,,,,,,,,,,,,Avenue J,,,1004511,1294594,1766027,2108750,2573469,2928567,3116230,3268245,3466203,3533765,,,9,Brighton Beach Line and Fifth Avenue-Bay Ridge Line station ridership data across multiple years
