Line Type,Number of Fare Passengers Carried During Fiscal Year 1939,Increase or (D) Decrease in Traffic During 1939 - Number of Passengers,Increase or (D) Decrease in Traffic During 1939 - Per Cent,Month,Year,Station,Fiscal Year 1939,Fiscal Year 1938,Increase or (D) Decrease Number,Increase or (D) Decrease Per Cent,STATIONS,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,Line,Borough,LINE,BOROUGH,_page,_page_desc
,,,,,,,,,,,Prospect Avenue,3105668,8191631,7817728,4382634,4182854,4244013,3002182,3263976,3171891,3123889,,,,,3,"Fares Collected by Stations - Subway Division Continued - Contract 1 and 2 Stations (Bronx and Manhattan Lenox Avenue stations) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,Intervale Avenue,,,,,3857771,6358182,9322263,8679870,,,,,,,3,"Fares Collected by Stations - Subway Division Continued - Contract 1 and 2 Stations (Bronx and Manhattan Lenox Avenue stations) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,Simpson Street,7691924,7700462,7879838,6876889,,,,,8050122,8858989,,,,,3,"Fares Collected by Stations - Subway Division Continued - Contract 1 and 2 Stations (Bronx and Manhattan Lenox Avenue stations) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,Freeman Street,7289281,7171641,6885556,8069126,6217450,6251925,9995146,9324075,9183563,9064122,,,,,3,"Fares Collected by Stations - Subway Division Continued - Contract 1 and 2 Stations (Bronx and Manhattan Lenox Avenue stations) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,174th Street,5699993,5671404,5493698,,3749277,3753502,3831044,,,3466315,,,,,3,"Fares Collected by Stations - Subway Division Continued - Contract 1 and 2 Stations (Bronx and Manhattan Lenox Avenue stations) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,177th Street,4643981,4464785,4199812,3821466,,,,2701768,2522279,2442993,,,,,3,"Fares Collected by Stations - Subway Division Continued - Contract 1 and 2 Stations (Bronx and Manhattan Lenox Avenue stations) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,180th Street (Bronx Park),3841807,3910894,3810092,3655197,2604374,,,,,,,,,,3,"Fares Collected by Stations - Subway Division Continued - Contract 1 and 2 Stations (Bronx and Manhattan Lenox Avenue stations) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,Total Stations (Contracts 1 and 2),453129100,442110642,413903577,369727815,361255082,357517778,361310601,354494084,338483027,332725252,,,,,3,"Fares Collected by Stations - Subway Division Continued - Contract 1 and 2 Stations (Bronx and Manhattan Lenox Avenue stations) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,Miscellaneous ticket sales,287217,265140,276162,268992,,193056,941711,1703601,998350,733458,,,,,3,"Fares Collected by Stations - Subway Division Continued - Contract 1 and 2 Stations (Bronx and Manhattan Lenox Avenue stations) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,Total fare collections (Contracts 1 & 2),453416317,442375783,414179739,369986807,361494114,357710834,362252312,356197685,339481377,333458710,,,,,3,"Fares Collected by Stations - Subway Division Continued - Contract 1 and 2 Stations (Bronx and Manhattan Lenox Avenue stations) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,SEVENTH AVENUE LINE,188820999,183729280,170910415,147816455,140166808,136701800,133493114,126027192,132831660,125709854,,,,,3,"Fares Collected by Stations - Subway Division - Contract 3 Stations (Seventh Avenue Line) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,Times Square (a),35915315,35783915,33654416,35743698,34052303,33941485,34646790,34047705,32736660,32804303,,,,,3,"Fares Collected by Stations - Subway Division - Contract 3 Stations (Seventh Avenue Line) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,Pennsylvania Station,48196796,47403448,43783019,,4618333,4409127,4330241,4534704,,,,,,,3,"Fares Collected by Stations - Subway Division - Contract 3 Stations (Seventh Avenue Line) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,28th Street,5176072,5632658,5819613,,,,,,5563660,,,,,,3,"Fares Collected by Stations - Subway Division - Contract 3 Stations (Seventh Avenue Line) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,33rd Street,8018774,7752219,7193360,,3492637,3404623,2542608,2447619,3228860,3831930,,,,,3,"Fares Collected by Stations - Subway Division - Contract 3 Stations (Seventh Avenue Line) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,18th Street,4490308,4326940,4024956,,,,,,,,,,,,3,"Fares Collected by Stations - Subway Division - Contract 3 Stations (Seventh Avenue Line) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,14th Street,14108843,13709850,13182647,11236893,10905783,11092098,11687581,10784360,,,,,,,3,"Fares Collected by Stations - Subway Division - Contract 3 Stations (Seventh Avenue Line) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,"Christopher St., Sheridan Square",4671551,4633997,4679118,4603680,4466397,4818017,4894929,4902232,,,,,,,3,"Fares Collected by Stations - Subway Division - Contract 3 Stations (Seventh Avenue Line) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,Houston Street,3679451,3595804,3383680,3187840,3166458,,,,,,,,,,3,"Fares Collected by Stations - Subway Division - Contract 3 Stations (Seventh Avenue Line) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,Canal Street,3493059,3883820,3703964,3094090,2961548,3884296,,3984017,3407454,4186083,,,,,3,"Fares Collected by Stations - Subway Division - Contract 3 Stations (Seventh Avenue Line) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,Franklin Street,2618609,2374436,2225125,6004910,5870213,5523457,4533488,4143558,4882082,,,,,,3,"Fares Collected by Stations - Subway Division - Contract 3 Stations (Seventh Avenue Line) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,Chambers Street,6478303,6435880,6261503,,,9024775,8896190,,,,,,,,3,"Fares Collected by Stations - Subway Division - Contract 3 Stations (Seventh Avenue Line) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,Cortlandt Street,10757492,10063791,9090268,7428421,7023625,,,1108345,2020880,2047415,,,,,3,"Fares Collected by Stations - Subway Division - Contract 3 Stations (Seventh Avenue Line) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,Rector Street,2655979,2271914,3077184,,3220506,3384663,5514885,5697053,3727088,4018561,,,,,3,"Fares Collected by Stations - Subway Division - Contract 3 Stations (Seventh Avenue Line) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,South Ferry,,,,3835005,2902316,2879376,5637185,,9003887,8808220,,,,,3,"Fares Collected by Stations - Subway Division - Contract 3 Stations (Seventh Avenue Line) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,Park Place,4065586,4597997,4060683,3218279,3016234,,,9397440,,,,,,,3,"Fares Collected by Stations - Subway Division - Contract 3 Stations (Seventh Avenue Line) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,Fulton & William Streets,5879753,5693190,5393590,8742371,8493197,7069942,7830757,7856648,,,,,,,3,"Fares Collected by Stations - Subway Division - Contract 3 Stations (Seventh Avenue Line) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,Wall & William Streets,9139069,9015784,8711647,4489093,3403406,3940100,,,,,,,,,3,"Fares Collected by Stations - Subway Division - Contract 3 Stations (Seventh Avenue Line) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,Clark Street (Brooklyn Heights),4993187,4234165,3849766,4760490,4430282,3968366,3880715,3820493,3198205,3926082,,,,,3,"Fares Collected by Stations - Subway Division - Contract 3 Stations (Seventh Avenue Line) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,Borough Hall (a),6051935,5843543,,,,,777,311194,599356,246179,,,,,3,"Fares Collected by Stations - Subway Division - Contract 3 Stations (Seventh Avenue Line) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,Miscellaneous ticket sales,634,,2944,2138,1775,1901,,,,,,,,,3,"Fares Collected by Stations - Subway Division - Contract 3 Stations (Seventh Avenue Line) - Fiscal Years Ended June 30, 1930 to 1939"
,,,,,,,,,,,LEXINGTON AVE. LINE NET TOTAL,804087875,804487774,198766978,188769011,278118890,278182841,278388476,278596118,167800789,183888800,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,"Dr. Adjustment of Joint Traffic, 6th Ave. 'El'",7677332,9448165,8916643,2716691,1978563,181169154,281169481,181191887,89987864,91029181,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,Lexington Avenue Line—Gross Total,811664807,818908939,804678981,191481717,280097461,89885817,91227888,89790181,89207218,80880888,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,Main Line,43482823,38373378,32887699,30278987,8827896,6809960,7119870,7108888,8824618,8074120,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,Grand Central (a),6698887,7018488,6888481,6698382,9406970,9232700,9788498,9678290,9494094,4649980,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,59th Street,10899828,8888848,9097938,8491719,8408970,8280080,8828968,8889798,4888994,4833700,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,86th Street—Hunter College,5442423,8840160,3346828,3464781,9988068,8802849,8898747,12401398,12008682,11862487,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,77th Street,6407218,6832811,4882481,,,,,,,,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,86th Street,8476882,8478928,18920622,18281488,13388009,13088148,4761798,4891883,4893274,4829804,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,96th Street,8899460,6882883,8804892,4921498,8229019,8999148,8084217,8291748,4078198,3892983,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,103rd Street,1821987,1736824,8379206,8727898,3229281,8047289,8198993,8182223,3842801,2826408,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,110th Street,7116700,6777881,6108880,8649484,8494740,8031191,8029408,46838200,44076900,42888188,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,116th Street,10997128,11286687,9999278,68768800,42980878,47488940,47988840,48018787,,,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,125th Street,68616790,68187190,61817107,,,81818720,,1823088,1880896,1869069,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,JEROME AVENUE BRANCH,1673468,1609209,1884991,1896889,1839828,1848418,1849688,1849888,2934087,2882740,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,"138th Street, Grand Concourse",1606228,1888986,1609818,1484088,2700248,2888482,2888782,8188888,4988404,4896736,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,"149th St., Grand Concourse (Upper Level)",8318888,3486868,8644080,3128878,3228884,8497880,8836887,8183488,3033298,2947033,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,161st Street,8867461,8044184,7677480,8988888,6728889,6894778,6888920,8880829,8833979,2912608,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,167th Street,7128764,8840712,8882488,6011918,6168402,8988998,8898892,8148792,3048298,,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,170th Street,8979677,8077828,8039067,4988881,4164402,3819681,8808791,8148788,8818882,3838788,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,Mt. Eden Avenue,4436873,4399678,4388227,7418898,8387264,6298781,2688688,8888888,2608120,2818183,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,176th Street,7618107,8872707,8664629,6887928,3788824,2678838,2638668,,3847108,2348616,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,New York University—Burnside Ave.,8787268,8924314,8824814,8488848,4118809,8788238,8781840,8897488,3347108,2868388,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,183d Street,8988280,6046721,8888448,8046124,3969049,8679787,924088,988332,984949,964033,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,Fordham Road,4892230,4769748,6728408,8806697,,848878,8887989,8168887,8884887,1173676,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,Kingsbridge Road,2022079,3048994,1881444,1808807,3619998,3442011,,,1790748,1689809,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,Bedford Park Blvd.—200th Street,4089208,4212109,4241817,3144061,1897208,1818968,,86119007,84981408,,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,Mosholu Parkway,1888890,2119486,2188861,,,,80061482,1888729,1628882,1602099,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,Woodlawn,88687848,86810488,88088741,88048079,83687727,81880442,,1688789,1888889,3888928,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,PELHAM BAY PARK BRANCH,2031618,1980798,1884188,4048818,3998889,3880698,2198819,3190118,2974031,2849719,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,133th Street—3d Avenue,4822289,4819086,4811078,,,,1088834,1184820,1108298,1088827,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,Brook Avenue,3718368,3683919,3338384,294273,984272,980082,1088834,1184829,2682839,2899981,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,Cypress Avenue,934230,987682,,,2883873,2887778,2183889,2180887,3112948,2122094,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,East 143d Street,2981288,2933890,2744068,2467617,2108438,,,3024700,,888809,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,East 149th Street,3423973,3486888,2818104,,2943898,2988841,3117477,,669180,688808,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,Longwood Avenue,3403988,3838887,,883120,621840,889180,2773789,2784144,2687440,2698880,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
,,,,,,,,,,,Hunts Point Avenue,1948380,2099996,898810,,3041829,2738887,2808881,,,,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - Lexington Avenue Line and Jerome Avenue Branch continued"
